,n_documents,total_characters,total_words,unique_words,type_token_ratio,avg_doc_length_words,median_doc_length_words,std_doc_length_words,avg_doc_length_chars,min_doc_length,max_doc_length
IndicCorp,1000000.0,291926466.0,57417242.0,779179.0,0.013570470695893056,57.417242,42.0,108.31729799581154,290.926467,1.0,19431.0
Wikipedia,23314.0,49150680.0,9168449.0,425848.0,0.046447114446511076,393.2593720511281,71.0,862.802485734185,2107.2045552028826,5.0,10022.0
Children,20.0,42661.0,8851.0,2744.0,0.31002146650096035,442.55,295.0,346.5235165179991,2132.1,52.0,1389.0
